sample_id,video_id,clip_id,video_path,file_size_bytes,video_read_status,fps,frame_count_header,frame_count_decoded,width,height,duration_sec,audio_status,audio_sample_rate,audio_samples,audio_duration_sec
'-THoVjtIkeU_12,'-THoVjtIkeU,12,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\12.mp4,1262553,ok,30.0,563,445,640,360,14.833333333333334,ok,16000,236889,14.8055625
'-THoVjtIkeU_2,'-THoVjtIkeU,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\2.mp4,347917,ok,30.0,139,128,640,360,4.266666666666667,ok,16000,67694,4.230875
'-THoVjtIkeU_6,'-THoVjtIkeU,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-THoVjtIkeU\6.mp4,801802,ok,30.0,331,241,640,360,8.033333333333333,ok,16000,127726,7.982875
'-UuX1xuaiiE_1,'-UuX1xuaiiE,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\1.mp4,2032933,ok,30.0,402,309,1280,720,10.3,ok,16000,164280,10.2675
'-UuX1xuaiiE_0,'-UuX1xuaiiE,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\0.mp4,654518,ok,30.0,109,109,1280,720,3.6333333333333333,ok,16000,57214,3.575875
'-UuX1xuaiiE_3,'-UuX1xuaiiE,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\3.mp4,1424269,ok,30.0,319,123,1280,720,4.1,ok,16000,64614,4.038375
'-UuX1xuaiiE_6,'-UuX1xuaiiE,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UuX1xuaiiE\6.mp4,1662602,ok,30.0,454,240,1280,720,8.0,ok,16000,127101,7.9438125
'-a55Q6RWvTA_3,'-a55Q6RWvTA,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-a55Q6RWvTA\3.mp4,749365,ok,30.0,678,664,480,270,22.133333333333333,ok,16000,353333,22.0833125
'-aNfi7CP8vM_7,'-aNfi7CP8vM,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-aNfi7CP8vM\7.mp4,430559,ok,30.0,337,257,480,360,8.566666666666666,ok,16000,136603,8.5376875
'-aqamKhZ1Ec_0,'-aqamKhZ1Ec,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-aqamKhZ1Ec\0.mp4,2882018,ok,30.0,329,329,1280,720,10.966666666666667,ok,16000,174243,10.8901875
'-dxfTGcXJoc_1,'-dxfTGcXJoc,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\1.mp4,658423,ok,30.0,589,482,320,240,16.066666666666666,ok,16000,256290,16.018125
'-dxfTGcXJoc_0,'-dxfTGcXJoc,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\0.mp4,771408,ok,30.0,615,615,320,240,20.5,ok,16000,326566,20.410375
'-dxfTGcXJoc_2,'-dxfTGcXJoc,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\2.mp4,675725,ok,30.0,586,500,320,240,16.666666666666668,ok,16000,266131,16.6331875
'-dxfTGcXJoc_6,'-dxfTGcXJoc,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-dxfTGcXJoc\6.mp4,428971,ok,30.0,388,381,320,240,12.7,ok,16000,202055,12.6284375
'-egA8-b7-3M_26,'-egA8-b7-3M,26,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\26.mp4,688886,ok,30.0,344,179,640,360,5.966666666666667,ok,16000,94729,5.9205625
'-egA8-b7-3M_17,'-egA8-b7-3M,17,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\17.mp4,774900,ok,30.0,417,215,640,360,7.166666666666667,ok,16000,113524,7.09525
'-egA8-b7-3M_18,'-egA8-b7-3M,18,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\18.mp4,737865,ok,30.0,400,250,640,360,8.333333333333334,ok,16000,132251,8.2656875
'-egA8-b7-3M_16,'-egA8-b7-3M,16,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\16.mp4,391465,ok,30.0,213,166,640,360,5.533333333333333,ok,16000,87728,5.483
'-egA8-b7-3M_13,'-egA8-b7-3M,13,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\13.mp4,394399,ok,30.0,207,123,640,360,4.1,ok,16000,64382,4.023875
'-egA8-b7-3M_1,'-egA8-b7-3M,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\1.mp4,658247,ok,30.0,345,306,640,360,10.2,ok,16000,162500,10.15625
'-egA8-b7-3M_6,'-egA8-b7-3M,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\6.mp4,446118,ok,30.0,241,187,640,360,6.233333333333333,ok,16000,98930,6.183125
'-egA8-b7-3M_9,'-egA8-b7-3M,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\9.mp4,581652,ok,30.0,302,150,640,360,5.0,ok,16000,78978,4.936125
'-egA8-b7-3M_20,'-egA8-b7-3M,20,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-egA8-b7-3M\20.mp4,823539,ok,30.0,440,196,640,360,6.533333333333333,ok,16000,103591,6.4744375
'-iRBcNs9oI8_3,'-iRBcNs9oI8,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\3.mp4,988521,ok,29.97002997002997,174,167,1280,720,5.572233333333333,ok,16000,88612,5.53825
'-iRBcNs9oI8_7,'-iRBcNs9oI8,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\7.mp4,980176,ok,29.97002997002997,172,120,1280,720,4.0040000000000004,ok,16000,64092,4.00575
'-iRBcNs9oI8_6,'-iRBcNs9oI8,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\6.mp4,1286164,ok,29.97002997002997,223,85,1280,720,2.8361666666666667,ok,16000,45127,2.8204375
'-iRBcNs9oI8_9,'-iRBcNs9oI8,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\9.mp4,1084122,ok,29.97002997002997,214,102,1280,720,3.4034,ok,16000,53985,3.3740625
'-iRBcNs9oI8_8,'-iRBcNs9oI8,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-iRBcNs9oI8\8.mp4,1166371,ok,29.97002997002997,258,241,1280,720,8.041366666666667,ok,16000,128417,8.0260625
'-lzEya4AM_4_5,'-lzEya4AM_4,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-lzEya4AM_4\5.mp4,333185,ok,30.0,233,229,470,360,7.633333333333334,ok,16000,121115,7.5696875
'-lzEya4AM_4_6,'-lzEya4AM_4,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-lzEya4AM_4\6.mp4,1088736,ok,30.0,681,443,470,360,14.766666666666667,ok,16000,235846,14.740375
'-mJ2ud6oKI8_1,'-mJ2ud6oKI8,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\1.mp4,1040138,ok,29.97002997002997,197,182,1280,720,6.072733333333334,ok,16000,96872,6.0545
'-mJ2ud6oKI8_2,'-mJ2ud6oKI8,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\2.mp4,1471617,ok,29.97002997002997,203,171,1280,720,5.7057,ok,16000,91227,5.7016875
'-mJ2ud6oKI8_6,'-mJ2ud6oKI8,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\6.mp4,562692,ok,29.97002997002997,79,67,1280,720,2.2355666666666667,ok,16000,35650,2.228125
'-mJ2ud6oKI8_9,'-mJ2ud6oKI8,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\9.mp4,1788453,ok,29.97002997002997,298,208,1280,720,6.940266666666667,ok,16000,110540,6.90875
'-mJ2ud6oKI8_8,'-mJ2ud6oKI8,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mJ2ud6oKI8\8.mp4,1578317,ok,29.97002997002997,259,125,1280,720,4.170833333333333,ok,16000,66742,4.171375
'-mqbVkbCndg_0,'-mqbVkbCndg,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-mqbVkbCndg\0.mp4,517424,ok,30.0,194,194,1280,720,6.466666666666667,ok,16000,102168,6.3855
'-t217m2on-s_2,'-t217m2on-s,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-t217m2on-s\2.mp4,282834,ok,30.0,240,170,480,270,5.666666666666667,ok,16000,90083,5.6301875
'-t217m2on-s_7,'-t217m2on-s,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-t217m2on-s\7.mp4,648501,ok,30.0,558,512,480,270,17.066666666666666,ok,16000,272422,17.026375
'-tANM6ETl_M_3,'-tANM6ETl_M,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tANM6ETl_M\3.mp4,1547930,ok,30.0,271,200,1280,720,6.666666666666667,ok,16000,105658,6.603625
'-tPCytz4rww_11,'-tPCytz4rww,11,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\11.mp4,361198,ok,30.0,240,164,480,270,5.466666666666667,ok,16000,86057,5.3785625
'-tPCytz4rww_10,'-tPCytz4rww,10,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\10.mp4,512248,ok,30.0,351,142,480,270,4.733333333333333,ok,16000,74861,4.6788125
'-tPCytz4rww_12,'-tPCytz4rww,12,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\12.mp4,831948,ok,30.0,561,353,480,270,11.766666666666667,ok,16000,187779,11.7361875
'-tPCytz4rww_16,'-tPCytz4rww,16,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\16.mp4,550547,ok,30.0,397,216,480,270,7.2,ok,16000,114227,7.1391875
'-tPCytz4rww_18,'-tPCytz4rww,18,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-tPCytz4rww\18.mp4,625292,ok,30.0,428,199,480,270,6.633333333333334,ok,16000,105101,6.5688125
'-vxjVxOeScU_4,'-vxjVxOeScU,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-vxjVxOeScU\4.mp4,431202,ok,30.0,351,272,480,360,9.066666666666666,ok,16000,144593,9.0370625
'-wMB_hJL-3o_7,'-wMB_hJL-3o,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wMB_hJL-3o\7.mp4,264692,ok,30.0,219,181,480,360,6.033333333333333,ok,16000,95609,5.9755625
'-wny0OAz3g8_1,'-wny0OAz3g8,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\1.mp4,1001717,ok,30.0,273,205,1280,720,6.833333333333333,ok,16000,108425,6.7765625
'-wny0OAz3g8_0,'-wny0OAz3g8,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\0.mp4,458092,ok,30.0,100,100,1280,720,3.3333333333333335,ok,16000,52384,3.274
'-wny0OAz3g8_3,'-wny0OAz3g8,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\3.mp4,1314050,ok,30.0,334,184,1280,720,6.133333333333334,ok,16000,97598,6.099875
'-wny0OAz3g8_2,'-wny0OAz3g8,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\2.mp4,1365442,ok,30.0,355,197,1280,720,6.566666666666666,ok,16000,104363,6.5226875
'-wny0OAz3g8_5,'-wny0OAz3g8,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\5.mp4,1349104,ok,30.0,296,204,1280,720,6.8,ok,16000,107863,6.7414375
'-wny0OAz3g8_7,'-wny0OAz3g8,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\7.mp4,1016813,ok,30.0,283,240,1280,720,8.0,ok,16000,126568,7.9105
'-wny0OAz3g8_9,'-wny0OAz3g8,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-wny0OAz3g8\9.mp4,1322886,ok,30.0,293,183,1280,720,6.1,ok,16000,96696,6.0435
'-571d8cVauQ_0,'-571d8cVauQ,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-571d8cVauQ\0.mp4,259577,ok,30.0,152,152,486,360,5.066666666666666,ok,16000,79877,4.9923125
'-571d8cVauQ_5,'-571d8cVauQ,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-571d8cVauQ\5.mp4,813771,ok,30.0,552,455,486,360,15.166666666666666,ok,16000,241844,15.11525
'-I_e4mIh0yE_1,'-I_e4mIh0yE,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-I_e4mIh0yE\1.mp4,487464,ok,30.0,320,225,640,360,7.5,ok,16000,119109,7.4443125
'-I_e4mIh0yE_3,'-I_e4mIh0yE,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-I_e4mIh0yE\3.mp4,425914,ok,30.0,276,271,640,360,9.033333333333333,ok,16000,143910,8.994375
'-UacrmKiTn4_10,'-UacrmKiTn4,10,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UacrmKiTn4\10.mp4,486491,ok,30.0,377,218,470,360,7.266666666666667,ok,16000,115873,7.2420625
'-UacrmKiTn4_4,'-UacrmKiTn4,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UacrmKiTn4\4.mp4,249701,ok,30.0,186,142,470,360,4.733333333333333,ok,16000,74911,4.6819375
'-hnBHBN8p5A_7,'-hnBHBN8p5A,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-hnBHBN8p5A\7.mp4,1409433,ok,23.976023976023978,220,176,1280,720,7.3406666666666665,ok,16000,116937,7.3085625
'-hnBHBN8p5A_6,'-hnBHBN8p5A,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-hnBHBN8p5A\6.mp4,1661111,ok,23.976035631539084,274,153,1280,720,6.38137189781022,ok,16000,101325,6.3328125
'-qDkUB0GgYY_6,'-qDkUB0GgYY,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-qDkUB0GgYY\6.mp4,404331,ok,30.0,290,140,360,360,4.666666666666667,ok,16000,73835,4.6146875
'-uywlfIYOS8_4,'-uywlfIYOS8,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-uywlfIYOS8\4.mp4,557194,ok,30.0,428,179,480,270,5.966666666666667,ok,16000,94098,5.881125
'-6rXp3zJ3kc_8,'-6rXp3zJ3kc,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-6rXp3zJ3kc\8.mp4,567350,ok,30.0,497,384,480,270,12.8,ok,16000,203808,12.738
'-9y-fZ3swSY_0,'-9y-fZ3swSY,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-9y-fZ3swSY\0.mp4,965453,ok,30.0,205,205,1280,720,6.833333333333333,ok,16000,108112,6.757
'-9y-fZ3swSY_4,'-9y-fZ3swSY,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-9y-fZ3swSY\4.mp4,1486121,ok,30.0,277,81,1280,720,2.7,ok,16000,42637,2.6648125
'-9y-fZ3swSY_8,'-9y-fZ3swSY,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-9y-fZ3swSY\8.mp4,1715052,ok,30.0,323,149,1280,720,4.966666666666667,ok,16000,78672,4.917
'-AUZQgSxyPQ_2,'-AUZQgSxyPQ,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-AUZQgSxyPQ\2.mp4,4550251,ok,30.0,818,674,1280,720,22.466666666666665,ok,16000,358473,22.4045625
'-HeZS2-Prhc_2,'-HeZS2-Prhc,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HeZS2-Prhc\2.mp4,896960,ok,30.0,474,246,360,360,8.2,ok,16000,130414,8.150875
'-MeTTeMJBNc_0,'-MeTTeMJBNc,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-MeTTeMJBNc\0.mp4,350827,ok,30.0,279,279,470,360,9.3,ok,16000,147493,9.2183125
'-MeTTeMJBNc_13,'-MeTTeMJBNc,13,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-MeTTeMJBNc\13.mp4,271826,ok,30.0,221,159,470,360,5.3,ok,16000,84088,5.2555
'-MeTTeMJBNc_7,'-MeTTeMJBNc,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-MeTTeMJBNc\7.mp4,632477,ok,30.0,520,314,470,360,10.466666666666667,ok,16000,166581,10.4113125
'-RfYyzHpjk4_11,'-RfYyzHpjk4,11,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-RfYyzHpjk4\11.mp4,2061678,ok,30.0,348,154,1280,720,5.133333333333334,ok,16000,81198,5.074875
'-RfYyzHpjk4_8,'-RfYyzHpjk4,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-RfYyzHpjk4\8.mp4,2256195,ok,30.0,349,137,1280,720,4.566666666666666,ok,16000,72518,4.532375
'-RfYyzHpjk4_2,'-RfYyzHpjk4,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-RfYyzHpjk4\2.mp4,1138330,ok,30.0,186,164,1280,720,5.466666666666667,ok,16000,86269,5.3918125
'-UUCSKoHeMA_0,'-UUCSKoHeMA,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-UUCSKoHeMA\0.mp4,286208,ok,30.0,234,234,470,360,7.8,ok,16000,123716,7.73225
'-ri04Z7vwnc_0,'-ri04Z7vwnc,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-ri04Z7vwnc\0.mp4,188321,ok,23.97604418875992,79,67,1280,720,2.794455977496484,ok,16000,44212,2.76325
'-ri04Z7vwnc_2,'-ri04Z7vwnc,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-ri04Z7vwnc\2.mp4,460082,ok,23.976043214651384,166,143,1280,720,5.96428688085676,ok,16000,94614,5.913375
'-ri04Z7vwnc_5,'-ri04Z7vwnc,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-ri04Z7vwnc\5.mp4,550439,ok,23.976046466253432,142,83,1280,720,3.461788419405321,ok,16000,55036,3.43975
'-s9qJ7ATP7w_1,'-s9qJ7ATP7w,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\1.mp4,1431603,ok,30.0,324,140,1280,720,4.666666666666667,ok,16000,74301,4.6438125
'-s9qJ7ATP7w_0,'-s9qJ7ATP7w,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\0.mp4,890272,ok,30.0,204,204,1280,720,6.8,ok,16000,107369,6.7105625
'-s9qJ7ATP7w_5,'-s9qJ7ATP7w,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\5.mp4,1432255,ok,30.0,404,253,1280,720,8.433333333333334,ok,16000,134366,8.397875
'-s9qJ7ATP7w_4,'-s9qJ7ATP7w,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\4.mp4,639360,ok,30.0,183,129,1280,720,4.3,ok,16000,67950,4.246875
'-s9qJ7ATP7w_7,'-s9qJ7ATP7w,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\7.mp4,1601944,ok,30.0,382,207,1280,720,6.9,ok,16000,109417,6.8385625
'-s9qJ7ATP7w_6,'-s9qJ7ATP7w,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\6.mp4,839808,ok,30.0,195,71,1280,720,2.3666666666666667,ok,16000,37037,2.3148125
'-s9qJ7ATP7w_8,'-s9qJ7ATP7w,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-s9qJ7ATP7w\8.mp4,781494,ok,30.0,197,97,1280,720,3.2333333333333334,ok,16000,50948,3.18425
